no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
66,Pranpur,pranpur,Katihar,,11,Katihar,Binod Kumar Singh,BJP,43660,Israt Parween,NCP,42944,716,Binod Kumar Singh,BJP,"47,924",Israt Parween,NCP,"39,823","8,101",Nisha Singh,BJP,"79,974",Tauquir Alam,INC,"77,002","2,972",,,,,,,,Nisha Singh,BJP,NDA,,False,False
67,Manihari,manihari-st,Katihar,ST,11,Katihar,Manohar Prasad Singh,JD(U),44938,Gita Kisku,NCP,40773,4165,Manohar Prasad Singh,INC,"61,704",Anil Kumar Oraon,LJP,"48,024","13,680",Manohar Prasad Singh,INC,"83,032",Shambhu Kumar Suman,JD(U),"61,823","21,209",,,,,,,,Manohar Prasad Singh,INC,MGB,,False,False
68,Barari,barari,Katihar,,11,Katihar,Bibhash Chandra Choudhary,BJP,58104,Mohammed Shakoor,NCP,30936,27168,Neeraj Kumar,RJD,"71,175",Bibhash Chandra Choudhary,BJP,"56,839","14,336",Bijay Singh,JD(U),"81,752",Neeraj Kumar,RJD,"71,314","10,438",,,,,,,,Bijay Singh,JD(U),NDA,,False,False
69,Korha,korha-sc,Katihar,SC,12,Purnia,Mahesh Paswan,BJP,71020,Sunita Devi,INC,18576,52444,Punam Paswan,INC,"78,409",Mahesh Paswan,BJP,"72,983","5,426",Kavita Devi,BJP,"104,625",Punam Kumari,INC,"75,682","28,943",,,,,,,,Kavita Devi,BJP,NDA,,False,False
70,Alamnagar,alamnagar,Madhepura,,13,Madhepura,Narendra Narayan Yadav,JD(U),64967,Lovely Anand,INC,22622,42345,Narendra Narayan Yadav,JD(U),"87,962",Chandan Singh,LJP,"44,086","43,876",Narendra Narayan Yadav,JD(U),"102,517",Nabin Kumar,RJD,"73,837","28,680",,,,,,,,Narendra Narayan Yadav,JD(U),NDA,,False,False
71,Bihariganj,bihariganj,Madhepura,,13,Madhepura,Renu Kumari Singh,JD(U),79062,Prabhash Kumar,RJD,29065,49997,Niranjan Kumar Mehta,JD(U),"78,361",Ravindra Charan Yadav,BJP,"49,108","29,253",Niranjan Kumar Mehta,JD(U),"81,531",Subhashini Raj Rao,INC,"62,820","18,711",,,,,,,,Niranjan Kumar Mehta,JD(U),NDA,,False,False
72,Singheshwar,singheshwar-sc,Madhepura,SC,8,Supaul,Ramesh Rishidev,JD(U),72282,Amit Kumar Bharti,RJD,57086,15196,Ramesh Rishidev,JD(U),"83,073",Manju Devi,HAM(S),"32,873","50,200",Chandrahas Chaupal,RJD,"86,181",Ramesh Rishidev,JD(U),"80,608","5,573",,,,,,,,Chandrahas Chaupal,RJD,MGB,,False,False
73,Madhepura,madhepura,Madhepura,,13,Madhepura,Chandra Shekhar,RJD,72481,Ramendra Kumar Yadav,JD(U),60537,11944,Chandra Shekhar,RJD,"90,974",Vijay Kumar Bimal,BJP,"53,332","37,642",Chandrashekhar Yadav,RJD,"79,839",Nikhil Mandal,JD(U),"64,767","15,072",,,,,,,,Chandra Shekhar Yadav,RJD,MGB,,False,True
74,Sonbarsha,sonbarsha-sc,Saharsa,SC,13,Madhepura,Ratnesh Sada,JD(U),56633,Sarita Devi,LJP,25188,31445,Ratnesh Sada,JD(U),"88,789",Sarita Devi,LJP,"35,026","53,763",Ratnesh Sada,JD(U),"67,678",Tarni Rishideo,INC,"54,212","13,466",,,,,,,,Ratnesh Sada,JD(U),NDA,,False,False
75,Saharsa,saharsa,Saharsa,,13,Madhepura,Alok Ranjan Jha,BJP,55687,Arun Kumar,RJD,47708,7979,Arun Kumar,RJD,"102,850",Alok Ranjan Jha,BJP,"63,644","39,206",Alok Ranjan Jha,BJP,"103,538",Lovely Anand,RJD,"83,859","19,679",,,,,,,,Alok Ranjan Jha,BJP,NDA,,False,False
76,Simri Bakhtiarpur,simri-bakhtiarpur,Saharsa,,25,Khagaria,Aurn Kumar,JD(U),57980,Mehboob Ali Kaiser,INC,39138,18842,Dinesh Chandra Yadav,JD(U),"78,514",Yusuf Salahuddin,LJP,"40,708","37,806",Yusuf Salahuddin,RJD,"75,684",Mukesh Sahani,VIP,"73,925","1,759",,,,,,,,Yusuf Salahuddin,RJD,MGB,,False,False
77,Mahishi,mahishi,Saharsa,,13,Madhepura,Abdul Ghafoor,RJD,39158,Raj Kumar Sah,JD(U),37441,1717,Abdul Ghafoor,RJD,"56,436",Chandan Kumar Sah,RLSP,"30,301","26,135",Gunjeshwar Sah,JD(U),"66,316",Gautam Krishna,RJD,"64,686","1,630",,,,,,,,Gunjeshwar Sah,JD(U),NDA,,False,False
78,Kusheshwar Asthan,kusheshwar-asthan-sc,Darbhanga,SC,23,Samastipur,Shashi Bhushan Hazari,BJP,28576,Ram Chandra Paswan,LJP,23064,5512,Shashi Bhushan Hazari,JD(U),"50,062",Dhananjay Kumar Paswan,LJP,"30,212","19,850",Shashi Bhushan Hazari,JD(U),"53,980",Ashok Kumar,INC,"46,758","7,222",,,,,,,,Shashi Bhushan Hazari,JD(U),NDA,"Died in 1 July 2021
Aman Bhushan Hajari	Elected on 2 November 2021 in by-election",False,False
79,Gaura Bauram,gaura-bauram,Darbhanga,,14,Darbhanga,Izhar Ahmad,JD(U),33258,Mahavir Prasad,LJP,22656,10602,Madan Sahni,JD(U),"51,403",Vinod Sahni,LJP,"37,341","14,062",Swarna Singh,VIP,"59,538",Afzal Ali Khan,RJD,"52,258","7,280",,,,,,,,Swarna Singh,BJP,NDA,Switched from VIP to BJP[12],True,False
80,Benipur,benipur,Darbhanga,,14,Darbhanga,Gopal Jee Thakur,BJP,43222,Hare Krishna Yadav,JD(U),29265,13957,Sunil Choudhary,JD(U),"69,511",Gopal Jee Thakur,BJP,"43,068","26,443",Binay Kumar Choudhary,JD(U),"61,416",Mithilesh Kumar Choudhary,INC,"54,826","6,590",,,,,,,,Binay Kumar Choudhary,JD(U),NDA,,False,False
81,Alinagar,alinagar,Darbhanga,,14,Darbhanga,Abdul Bari Siddiqui,RJD,37923,Prabhakar Choudhary,JD(U),32934,4989,Abdul Bari Siddiqui,RJD,"67,461",Mishri Lal Yadav,BJP,"54,001","13,460",Mishri Lal Yadav,VIP,"61,082",Binod Mishra,RJD,"57,981","3,101",,,,,,,,Mishrilal Yadav,BJP,NDA,Switched from VIP to BJP[12],True,True
82,Darbhanga Rural,darbhanga-rural,Darbhanga,,14,Darbhanga,Lalit Kumar Yadav,RJD,29776,Ashraf Hussain,JD(U),26100,3676,Lalit Kumar Yadav,RJD,"70,557",Naushad Ahmad,HAM(S),"36,066","34,491",Lalit Kumar Yadav,RJD,"64,929",Faraz Fatmi,JD(U),"62,788","2,141",,,,,,,,Lalit Kumar Yadav,RJD,MGB,,False,False
83,Darbhanga,darbhanga,Darbhanga,,14,Darbhanga,Sanjay Saraogi,BJP,64136,Sultan Ahmad,RJD,36582,27554,Sanjay Saraogi,BJP,"77,776",Om Prakash Kheria,RJD,"70,316","7,460",Sanjay Saraogi,BJP,"84,144",Amarnath Gami,RJD,"73,505","10,639",,,,,,,,Sanjay Saraogi,BJP,NDA,,False,False
84,Hayaghat,hayaghat,Darbhanga,,23,Samastipur,Amarnath Gami,BJP,32023,Shahnawaz Ahmad Kaifee,LJP,25998,6025,Amarnath Gami,JD(U),"65,677",Ramesh Choudhary,LJP,"32,446","33,231",Ram Chandra Prasad,BJP,"67,030",Bhola Yadav,RJD,"56,778","10,252",,,,,,,,Ram Chandra Prasad,BJP,NDA,,False,False
85,Bahadurpur,bahadurpur,Darbhanga,,14,Darbhanga,Madan Sahni,JD(U),27320,Harinandan Yadav,RJD,26677,643,Bhola Yadav,RJD,"71,547",Hari Sahni,BJP,"54,558","16,989",Madan Sahni,JD(U),"68,538",Ramesh Choudhary,RJD,"65,909","2,629",,,,,,,,Madan Sahni,JD(U),NDA,,False,False
86,Keoti,keoti,Darbhanga,,6,Madhubani,Ashok Kumar Yadav,BJP,45791,Faraz Fatmi,RJD,45762,29,Faraz Fatmi,RJD,"68,601",Ashok Kumar Yadav,BJP,"60,771","7,830",Murari Mohan Jha,BJP,"76,372",Abdul Bari Siddiqui,RJD,"71,246","5,126",,,,,,,,Murari Mohan Jha,BJP,NDA,,False,False
87,Jale,jale,Darbhanga,,6,Madhubani,Vijay Kumar Mishra,BJP,42590,Ramniwas,RJD,25648,16942,Jibesh Kumar,BJP,"62,059",Rishi Mishra,JD(U),"57,439","4,620",Jibesh Kumar,BJP,"87,376",Maskoor Ahmad Usmani,INC,"65,580","21,796",,,,,,,,Jibesh Kumar,BJP,NDA,,False,False
88,Gaighat,gaighat,Muzaffarpur,,15,Muzaffarpur,Veena Devi,BJP,56386,Maheshwar Prasad Yadav,RJD,40399,15987,Maheshwar Prasad Yadav,RJD,"67,313",Veena Devi,BJP,"63,812","3,501",Niranjan Roy,RJD,"59,778",Maheshwar Pd Yadav,JD(U),"52,212","7,566",,,,,,,,Niranjan Roy,RJD,MGB,,False,False
89,Aurai,aurai,Muzaffarpur,,15,Muzaffarpur,Ram Surat Rai,BJP,38422,Surendra Kumar,RJD,26681,11741,Surendra Kumar,RJD,"66,958",Ram Surat Kumar,BJP,"56,133","10,825",Ram Surat Kumar,BJP,"90,479",Md. Aftab Alam,CPI(ML)L,"42,613","47,866",,,,,,,,Ram Surat Rai,BJP,NDA,,False,True
90,Minapur,minapur,Muzaffarpur,,15,Muzaffarpur,Dinesh Prasad,JD(U),42286,Rajeev Kumar (Munna Yadav),RJD,36884,5402,Munna Yadav,RJD,"80,790",Ajay Kumar,BJP,"56,850","23,940",Rajeev Kumar,RJD,"60,018",Manoj Kumar,JD(U),"44,506","15,512",,,,,,,,Munna Yadav,RJD,MGB,,False,True
91,Bochahan,bochahan-sc,Muzaffarpur,SC,15,Muzaffarpur,Ramai Ram,JD(U),61885,Musafir Paswan,RJD,37758,24127,Baby Kumari,IND,"67,720",Ramai Ram,JD(U),"43,590","24,130",Musafir Paswan,VIP,"77,837",Ramai Ram,RJD,"66,569","11,268",,,,,,,,Musafir Paswan,VIP,NDA,"Died in November 2021
Amar Kumar Paswan		RJD		MGB	Won in 2022 by-poll necessitated after the death of Musafir Paswan.",False,False
92,Sakra,sakra-sc,Muzaffarpur,SC,15,Muzaffarpur,Suresh Chanchal,JD(U),55486,Lal Babu Ram,RJD,42441,13045,Lal Babu Ram,RJD,"75,010",Arjun Ram,BJP,"61,998","13,012",Ashok Kumar Choudhary,JD(U),"67,265",Umesh Kumar Ram,INC,"65,728","1,537",,,,,,,,Ashok Kumar Choudhary,JD(U),NDA,,False,False
93,Kurhani,kurhani,Muzaffarpur,,15,Muzaffarpur,Manoj Kumar Singh,JD(U),36757,Bijendra Chaudhary,LJP,35187,1570,Kedar Prasad Gupta,BJP,"73,227",Manoj Kumar Singh,JD(U),"61,657","11,570",Anil Kumar Sahani,RJD,"78,549",Kedar Prasad Gupta,BJP,"77,837",712,,,,,,,,Anil Kumar Sahni,RJD,MGB,"Disqualified on 14 October 2022 after criminal conviction[13]
Kedar Prasad Gupta		BJP		NDA	Won by-poll in 2022.[14]",False,True
94,Muzaffarpur,muzaffarpur,Muzaffarpur,,15,Muzaffarpur,Suresh Sharma,BJP,72301,Mohhammad Jamal,LJP,25862,46439,Suresh Kumar Sharma,BJP,"95,594",Bijendra Chaudhary,JD(U),"65,855","29,739",Bijendra Chaudhary,INC,"81,871",Suresh Kumar Sharma,BJP,"75,545","6,326",,,,,,,,Bijendra Chaudhary,INC,MGB,,False,False
95,Kanti,kanti,Muzaffarpur,,16,Vaishali,Ajit Kumar,JD(U),39648,Md Israil,RJD,31233,8415,Ashok Kumar Choudhary,IND,"58,111",Ajit Kumar,HAM(S),"48,836","9,275",Mohammad Israil Mansuri,RJD,"64,458",Ajit Kumar,IND,"54,144","10,314",,,,,,,,Mohammad Israil Mansuri,RJD,MGB,,False,False
96,Baruraj,baruraj,Muzaffarpur,,16,Vaishali,Brij Kishor Singh,RJD,42783,Nand Kumar Rai,JD(U),28466,14317,Nand Kumar Rai,RJD,"68,011",Arun Kumar Singh,BJP,"63,102","4,909",Arun Kumar Singh,BJP,"87,407",Nand Kumar Rai,RJD,"43,753","43,654",,,,,,,,Arun Kumar Singh (politician),BJP,NDA,,False,True
97,Paroo,paroo,Muzaffarpur,,16,Vaishali,Ashok Kumar Singh,BJP,53609,Mithilesh Prasad Yadav,RJD,34582,19027,Ashok Kumar Singh,BJP,"80,445",Shankar Prasad,RJD,"66,906","13,539",Ashok Kumar Singh,BJP,"77,392",Shankar Prasad,IND,"62,694","14,698",,,,,,,,Ashok Kumar Singh,BJP,NDA,,False,False
98,Sahebganj,sahebganj,Muzaffarpur,,16,Vaishali,Raju Kumar Singh,JD(U),46606,Ram Vichar Ray,RJD,41690,4916,Ram Vichar Ray,RJD,"70,583",Raju Kumar Singh,BJP,"59,923","10,660",Raju Kumar Singh,VIP,"81,203",Ram Vichar Ray,RJD,"65,870","15,333",,,,,,,,Raju Kumar Singh,BJP,NDA,Switched from VIP to BJP[12],True,False
99,Baikunthpur,baikunthpur,Gopalganj,,17,Gopalganj,Manjeet Kumar Singh,JD(U),70105,Devdatt Prasad,RJD,33581,36524,Mithlesh Tiwari,BJP,"56,162",Manjeet Kumar Singh,JD(U),"42,047","14,115",Prem Shankar Prasad,RJD,"67,807",Mithlesh Tiwari,BJP,"56,694","11,113",,,,,,,,Prem Shankar Yadav,RJD,MGB,,False,True
100,Barauli,barauli,Gopalganj,,17,Gopalganj,Rampravesh Rai,BJP,45234,Md. Nematullah,RJD,34820,10414,Md. Nematullah,RJD,"61,690",Rampravesh Rai,BJP,"61,186",504,Rampravesh Rai,BJP,"81,956",Reyazul Haque Raju,RJD,"67,801","14,155",,,,,,,,Rampravesh Rai,BJP,NDA,,False,False
101,Gopalganj,gopalganj,Gopalganj,,17,Gopalganj,Subhash Singh,BJP,58010,Reyazul Haque Raju,RJD,42117,15893,Subhash Singh,BJP,"78,491",Reyazul Haque Raju,RJD,"73,417","5,074",Subhash Singh,BJP,"77,791",Anirudh Prasad,BSP,"41,039","36,752",,,,,,,,Subhash Singh,BJP,NDA,"Death of Subhash Singh[15]
Kusum Devi	Won in 2022 bypoll",False,False
102,Kuchaikote,kuchaikote,Gopalganj,,17,Gopalganj,Amrendra Kumar Pandey,JD(U),51815,Aditya Narain Pandey,RJD,32297,19518,Amrendra Kumar Pandey,JD(U),"72,224",Kali Prasad Pandey,LJP,"68,662","3,562",Amrendra Kumar Pandey,JD(U),"74,359",Kali Prasad Pandey,INC,"53,729","20,630",,,,,,,,Amrendra Kumar Pandey,JD(U),NDA,,False,False
103,Bhore,bhore-sc,Gopalganj,SC,17,Gopalganj,Indradev Manjhi,BJP,61401,Bachchan Das,RJD,17831,43570,Anil Kumar,INC,"74,365",Indradev Manjhi,BJP,"59,494","14,871",Sunil Kumar,JD(U),"74,067",Jitendra Paswan,CPI(ML)L,"73,605",462,,,,,,,,Sunil Kumar,JD(U),NDA,,False,False
104,Hathua,hathua,Gopalganj,,17,Gopalganj,Ramsewak Singh,JD(U),50708,Rajesh Kumar Singh,RJD,27861,22847,Ramsewak Singh,JD(U),"57,917",Mahachandra Prasad Singh,HAM(S),"34,933","22,984",Rajesh Kumar Singh,RJD,"86,731",Ramsewak Singh,JD(U),"56,204","30,527",,,,,,,,Rajesh Kumar Singh,RJD,MGB,,False,False
105,Siwan,siwan,Siwan,,18,Siwan,Vyas Deo Prasad,BJP,51637,Awadh Bihari Choudhary,RJD,39096,12541,Vyas Deo Prasad,BJP,"55,156",Bablu Prasad,JD(U),"51,622","3,534",Awadh Bihari Choudhary,RJD,"76,785",Om Prakash Yadav,BJP,"74,812","1,973",,,,,,,,Awadh Bihari Yadav,RJD,MGB,,False,True
106,Ziradei,ziradei,Siwan,,18,Siwan,Asha Devi,BJP,29442,Amarjeet Kushwaha,CPI(ML)L,20522,8920,Ramesh Singh Kushwaha,JD(U),"40,760",Asha Devi,BJP,"34,669","6,091",Amarjeet Kushwaha,CPI(ML)L,"69,442",Kamala Singh,JD(U),"43,932","25,510",,,,,,,,Amarjeet Kushwaha,CPI(ML)L,MGB,,False,False
107,Darauli,darauli-sc,Siwan,SC,18,Siwan,Ramayan Manjhi,BJP,40993,Satyadeo Ram,CPI(ML)L,33987,7006,Satyadeo Ram,CPI(ML)L,"49,576",Ramayan Manjhi,BJP,"39,992","9,584",Satyadeo Ram,CPI(ML)L,"81,067",Ramayan Manjhi,BJP,"68,948","12,119",,,,,,,,Satyadeo Ram,CPI(ML)L,MGB,,False,False
108,Raghunathpur,raghunathpur,Siwan,,18,Siwan,Vikram Kunwar,BJP,33474,Amar Nath Yadav,CPI(ML)L,18362,15112,Hari Shankar Yadav,RJD,"61,042",Manoj Kumar Singh,BJP,"50,420","10,622",Hari Shankar Yadav,RJD,"67,757",Manoj Kumar Singh,LJP,"49,792","17,965",,,,,,,,Hari Shankar Yadav,RJD,MGB,,False,False
109,Daraunda,daraunda,Siwan,,18,Siwan,Jagmato Devi,JD(U),49115,Binod Kumar Singh,RJD,17980,31135,Kavita Singh,JD(U),"66,255",Jitendra Swami,BJP,"53,033","13,222",Karanjeet Singh,BJP,"71,934",Amar Nath Yadav,CPI(ML)L,"60,614","11,320",,,,,,,,Karanjeet Singh,BJP,NDA,,False,False
110,Barharia,barharia,Siwan,,18,Siwan,Shyam Bahadur Singh,JD(U),53707,Mahamad Mobin,RJD,28586,25121,Shyam Bahadur Singh,JD(U),"65,168",Bachha Panday,LJP,"50,585","14,583",Bachcha Pandey,RJD,"71,793",Shyam Bahadur Singh,JD(U),"68,234","3,559",,,,,,,,Bachcha Pandey,RJD,MGB,,False,False
111,Goriakothi,goriakothi,Siwan,,19,Maharajganj,Bhumendra Narayan Singh,BJP,42533,Indradeo Prasad,RJD,28512,14021,Satyadeo Prasad Singh,RJD,"70,965",Devesh Kant Singh,BJP,"63,314","7,651",Devesh Kant Singh,BJP,"87,368",Nutan Devi,RJD,"75,477","11,891",,,,,,,,Devesh Kant Singh,BJP,NDA,,False,False
112,Maharajganj,maharajganj,Siwan,,19,Maharajganj,Damodar Singh,JD(U),40232,Manik Chand Rai,RJD,20232,20000,Hem Narayan Sah,JD(U),"68,459",Kumar Deo Ranjan Singh,BJP,"48,167","20,292",Vijay Shanker Dubey,INC,"48,825",Hem Narayan Sah,JD(U),"46,849","1,976",,,,,,,,Vijay Shanker Dubey,INC,MGB,,False,False
113,Ekma,ekma,Saran,,19,Maharajganj,Manoranjan Singh,JD(U),55474,Kameshwar Kumar Singh,RJD,26273,29201,Manoranjan Singh,JD(U),"49,508",Kameshwar Kumar Singh,BJP,"41,382","8,126",Srikant Yadav,RJD,"53,875",Sita Devi,JD(U),"39,948","13,927",,,,,,,,Srikant Yadav,RJD,MGB,,False,False
114,Manjhi,manjhi,Saran,,19,Maharajganj,Gautam Singh,JD(U),28687,Hem Narayan Singh,RJD,20783,7904,Vijay Shanker Dubey,INC,"29,558",Keshav Singh,LJP,"20,692","8,866",Satyendra Yadav,CPI(M),"59,324",Rana Pratap Singh,IND,"33,938","25,386",,,,,,,,Satyendra Yadav,CPI(M),MGB,,False,False
115,Baniapur,baniapur,Saran,,19,Maharajganj,Kedar Nath Singh,RJD,45259,Virendra Kumar Ojha,JD(U),41684,3575,Kedar Nath Singh,RJD,"69,851",Tarkeshwar Singh,BJP,"53,900","15,951",Kedar Nath Singh,RJD,"65,194",Virendra Kumar Ojha,VIP,"37,405","27,789",,,,,,,,Kedar Nath Singh,RJD,MGB,,False,False
116,Taraiya,taraiya,Saran,,19,Maharajganj,Janak Singh,BJP,26600,Tarkeshwar Singh,INC,19630,6970,Mudrika Prasad Rai,RJD,"69,012",Janak Singh,BJP,"48,572","20,440",Janak Singh,BJP,"53,430",Sipahi Lal Mahto,RJD,"42,123","11,307",,,,,,,,Janak Singh,BJP,NDA,,False,False
117,Marhaura,marhaura,Saran,,20,Saran,Jitendra Kumar Ray,RJD,26374,Lal Babu Ray,JD(U),20750,5624,Jitendra Kumar Ray,RJD,"66,714",Lal Babu Rai,BJP,"49,996","16,718",Jitendra Kumar Ray,RJD,"59,812",Altaf Alam,JD(U),"48,427","11,385",,,,,,,,Jitendra Kumar Ray,RJD,MGB,,False,False
118,Chapra,chapra,Saran,,20,Saran,Janardan Singh Sigriwal,BJP,61045,Pramendra Ranjan Singh,RJD,25174,35871,C. N. Gupta,BJP,"71,646",Randhir Kumar Singh,RJD,"60,267","11,379",C. N. Gupta,BJP,"75,710",Randhir Kumar Singh,RJD,"68,939","6,771",,,,,,,,C. N. Gupta,BJP,NDA,,False,False
119,Garkha,garkha-sc,Saran,SC,20,Saran,Gyanchand Manjhi,BJP,41033,Muneshwar Chaudhary,RJD,39246,1787,Muneshwar Chaudhary,RJD,"89,249",Gyanchand Manjhi,BJP,"49,366","39,883",Surendra Ram,RJD,"83,412",Gyanchand Manjhi,BJP,"73,475","9,937",,,,,,,,Surendra Ram,RJD,MGB,,False,False
120,Amnour,amnour,Saran,,20,Saran,Krishna Kumar Mantoo,JD(U),29508,Sunil Kumar,IND,18991,10517,Shatrudhan Tiwari,BJP,"39,134",Krishna Kumar Mantoo,JD(U),"33,883","5,251",Krishan Kumar Mantoo,BJP,"63,316",Sunil Kumar,RJD,"59,635","3,681",,,,,,,,Krishan Kumar Mantoo,BJP,NDA,,False,False
121,Parsa,parsa,Saran,,20,Saran,Chhotelal Rai,JD(U),44828,Chandrika Rai,RJD,40139,4689,Chandrika Rai,RJD,"77,211",Chhotelal Rai,LJP,"34,876","42,335",Chhote Lal Ray,RJD,"68,316",Chandrika Roy,JD(U),"51,023","17,293",,,,,,,,Chhote Lal Ray,RJD,MGB,,False,False
122,Sonpur,sonpur,Saran,,20,Saran,Vinay Kumar Singh,BJP,64676,Rabri Devi,RJD,43991,20685,Ramanuj Prasad Yadav,RJD,"86,082",Vinay Kumar Singh,BJP,"49,686","36,396",Ramanuj Prasad Yadav,RJD,"73,247",Vinay Kumar Singh,BJP,"66,561","6,686",,,,,,,,Ramanuj Prasad Yadav,RJD,MGB,,False,False
123,Hajipur,hajipur,Vaishali,,21,Hajipur,Nityanand Rai,BJP,55315,Rajendra Rai,RJD,38706,16609,Awadhesh Singh,BJP,"86,773",Jagannath Prasad Rai,INC,"74,578","12,195",Awadhesh Singh,BJP,"85,552",Deo Kumar Chaurasia,RJD,"82,562","2,990",,,,,,,,Awadhesh Singh,BJP,NDA,,False,False
124,Lalganj,lalganj,Vaishali,,21,Hajipur,Annu Shukla,JD(U),58210,Raj Kumar Sah,IND,34065,24145,Raj Kumar Sah,LJP,"80,842",Vijay Kumar Shukla,JD(U),"60,549","20,293",Sanjay Kumar Singh,BJP,"70,750",Rakesh Kumar,INC,"44,451","26,299",,,,,,,,Sanjay Kumar Singh,BJP,NDA,,False,False
125,Vaishali,vaishali,Vaishali,,16,Vaishali,Brishin Patel,JD(U),60950,Veena Shahi,RJD,48122,12828,Raj Kishore Singh,JD(U),"79,286",Brishin Patel,HAM(S),"48,225","31,061",Siddharth Patel,JD(U),"69,780",Sanjeev Singh,INC,"62,367","7,413",,,,,,,,Siddharth Patel,JD(U),NDA,,False,False
126,Mahua,mahua,Vaishali,,21,Hajipur,Ravindra Ray,JD(U),46309,Jageshwar Ray,RJD,24384,21925,Tej Pratap Yadav,RJD,"66,927",Ravindra Ray,HAM(S),"38,772","28,155",Mukesh Kumar Raushan,RJD,"62,580",Ashma Parveen,JD(U),"48,893","13,687",,,,,,,,Mukesh Raushan Yadav,RJD,MGB,,False,True
127,Raja Pakar,raja-pakar-sc,Vaishali,SC,21,Hajipur,Sanjay Kumar,JD(U),43212,Gaurishankar Paswan,LJP,32997,10215,Shivchandra Ram,RJD,"61,251",Ram Nath Raman,LJP,"46,096","15,155",Pratima Kumari Das,INC,"54,299",Mahendra Ram,JD(U),"52,503","1,796",,,,,,,,Pratima Kumari,INC,MGB,,False,True
128,Raghopur,raghopur,Vaishali,,21,Hajipur,Satish Kumar,JD(U),64222,Rabri Devi,RJD,51216,13006,Tejashwi Yadav,RJD,"91,236",Satish Kumar,BJP,"68,503","22,733",Tejashwi Yadav,RJD,"97,404",Satish Kumar,BJP,"59,230","38,174",,,,,,,,Tejashwi Yadav,RJD,MGB,,False,False
129,Mahnar,mahnar,Vaishali,,21,Hajipur,Achyutanand Singh,BJP,29754,Rama Kishore Singh,LJP,27265,2489,Umesh Singh Kushwaha,JD(U),"69,825",Achuta Nand,BJP,"43,370","26,455",Bina Singh,RJD,"61,721",Umesh Kushwaha,JD(U),"53,774","7,947",,,,,,,,Bina Singh,RJD,MGB,,False,False
130,Patepur,patepur-sc,Vaishali,SC,22,Ujiarpur,Mahendra Baitha,BJP,53762,Prema Chaudhary,RJD,37095,16667,Prema Chaudhary,RJD,"67,548",Mahendra Baitha,BJP,"55,087","12,461",Lakhendra Kumar Raushan,BJP,"86,509",Shiv Chandra Ram,RJD,"60,670","25,839",,,,,,,,Lakhendra Kumar Raushan,BJP,NDA,,False,False
131,Kalyanpur,kalyanpur-sc,Samastipur,SC,23,Samastipur,Ramsewak Hazari,JD(U),62124,Bishwnath Paswan,LJP,31927,30197,Maheshwar Hazari,JD(U),"84,904",Prince Raj,LJP,"47,218","37,686",Maheshwar Hazari,JD(U),"72,279",Ranjeet Kumar Ram,CPI(ML)L,"62,028","10,251",,,,,,,,Maheshwar Hazari,JD(U),NDA,,False,False
132,Warisnagar,warisnagar,Samastipur,,23,Samastipur,Ashok Kumar,JD(U),46245,Gajendra Prasad Singh,RJD,26745,19500,Ashok Kumar,JD(U),"92,687",Chandrashekhar Rai,LJP,"34,114","58,573",Ashok Kumar,JD(U),"68,356",Phoolbabu Singh,CPI(ML)L,"54,555","13,801",,,,,,,,Ashok Kumar,JD(U),NDA,,False,False
133,Samastipur,samastipur,Samastipur,,23,Samastipur,Akhtarul Islam Sahin,RJD,42852,Ram Nath Thakur,JD(U),41025,1827,Akhtarul Islam Sahin,RJD,"82,508",Renu Kushawaha,BJP,"51,428","31,080",Akhtarul Islam Sahin,RJD,"68,507",Ashwamedh Devi,JD(U),"63,793","4,714",,,,,,,,Akhtarul Islam Sahin,RJD,MGB,,False,False
134,Ujiarpur,ujiarpur,Samastipur,,22,Ujiarpur,Durga Prasad Singh,RJD,42791,Ram Lakhan Mahato,JD(U),29760,13031,Alok Kumar Mehta,RJD,"85,466",Kumar Anant,RLSP,"38,006","47,460",Alok Kumar Mehta,RJD,"90,601",Sheel Kumar Roy,BJP,"67,333","23,268",,,,,,,,Alok Kumar Mehta,RJD,MGB,,False,False
135,Morwa,morwa,Samastipur,,22,Ujiarpur,Baidhnath Sahani,JD(U),40271,Ashok Singh,RJD,33421,6850,Vidya Sagar Singh Nishad,JD(U),"59,206",Suresh Ray,BJP,"40,390","18,816",Ranvijay Sahu,RJD,"59,554",Vidyasagar Singh Nishad,JD(U),"48,883","10,671",,,,,,,,Ranvijay Sahu,RJD,MGB,,False,False
