no,constituency_name,slug,district,reserved,lok_sabha_no,lok_sabha,y2010_winner_name,y2010_winner_party,y2010_winner_votes,y2010_runner_name,y2010_runner_party,y2010_runner_votes,y2010_margin,y2015_winner_name,y2015_winner_party,y2015_winner_votes,y2015_runner_name,y2015_runner_party,y2015_runner_votes,y2015_margin,y2020_winner_name,y2020_winner_party,y2020_winner_votes,y2020_runner_name,y2020_runner_party,y2020_runner_votes,y2020_margin,y2025_winner_name,y2025_winner_party,y2025_winner_votes,y2025_runner_name,y2025_runner_party,y2025_runner_votes,y2025_margin,current_mla_name,current_mla_party,current_mla_alliance,current_remarks,diff_party_vs_2020,diff_name_vs_2020
15,Kesaria,kesaria,Purvi Champaran,,3,Purvi Champaran,Sachindra Prasad Singh,BJP,34649,Ram Saran Prasad Yadav,CPI,22966,11683,Rajesh Kumar,RJD,"62,902",Rajendra Prasad Gupta,BJP,"46,955","15,947",Shalini Mishra,JD(U),"40,219",Santosh Kushwha,RJD,"30,992","9,227",,,,,,,,Shalini Mishra,JD(U),NDA,,False,False
16,Kalyanpur,kalyanpur,Purvi Champaran,,3,Purvi Champaran,Razia Khatoon,JD(U),41163,Manoj Kumar Yadav,RJD,25761,15402,Sachindra Prasad Singh,BJP,"50,060",Razia Khatoon,JD(U),"38,572","11,488",Manoj Kumar Yadav,RJD,"72,819",Sachindra Prasad Singh,BJP,"71,626","1,193",,,,,,,,Manoj Kumar Yadav,RJD,MGB,,False,False
17,Pipra,pipra,Purvi Champaran,,3,Purvi Champaran,Awadhesh Prasad Kushwaha,JD(U),40099,Subhodh Yadav,RJD,28212,11887,Shyambabu Prasad Yadav,BJP,"65,552",Krishan Chandra,JD(U),"61,622","3,930",Shyambabu Prasad Yadav,BJP,"88,587",Rajmangal Prashad,CPI(M),"80,410","8,177",,,,,,,,Shyambabu Prasad Yadav,BJP,NDA,,False,False
18,Madhuban,madhuban,Purvi Champaran,,4,Sheohar,Shivajee Rai,JD(U),40478,Rana Randhir Singh,RJD,30356,10122,Rana Randhir Singh,BJP,"61,054",Shivajee Rai,JD(U),"44,832","16,222",Rana Randhir Singh,BJP,"73,179",Madan Prasad,RJD,"67,301","5,878",,,,,,,,Rana Randhir Singh,BJP,NDA,,False,False
19,Motihari,motihari,Purvi Champaran,,3,Purvi Champaran,Pramod Kumar,BJP,51888,Rajesh Gupta,RJD,27358,24530,Pramod Kumar,BJP,"79,947",Binod Kumar Shrivastava,RJD,"61,430","18,517",Pramod Kumar,BJP,"92,733",Om Prakash Chaudhary,RJD,"78,088","14,645",,,,,,,,Pramod Kumar,BJP,NDA,,False,False
20,Chiraia,chiraia,Purvi Champaran,,4,Sheohar,Avaneesh Kumar Singh,BJP,39459,Laxmi Narayan Prasad Yadav,RJD,24631,14828,Lal Babu Prasad Gupta,BJP,"62,831",Laxmi Narayan Prasad Yadav,RJD,"58,457","4,374",Lal Babu Prasad Gupta,BJP,"62,904",Achchhelal Prasad,RJD,"46,030","16,874",,,,,,,,Lal Babu Prasad Gupta,BJP,NDA,,False,False
21,Dhaka,dhaka,Purvi Champaran,,4,Sheohar,Pawan Kumar Jaiswal,IND,48100,Faisal Rahman,JD(U),46451,1649,Faisal Rahman,RJD,"87,458",Pawan Kumar Jaiswal,BJP,"68,261","19,197",Pawan Jaiswal,BJP,"99,792",Faisal Rahman,RJD,"89,678","10,114",,,,,,,,Pawan Jaiswal,BJP,NDA,,False,False
22,Sheohar,sheohar,Sheohar,,4,Sheohar,Sharfuddin,JD(U),40447,Pratima Devi,BSP,38816,1631,Sharfuddin,JD(U),"44,576",Lovely Anand,HAM(S),"44,115",461,Chetan Anand Singh,RJD,"73,143",Sharfuddin,JD(U),"36,457",36686,,,,,,,,Chetan Anand,JD(U),NDA,Switched from RJD to JDU,True,True
23,Riga,riga,Sitamarhi,,4,Sheohar,Moti Lal Prasad,BJP,48633,Amit Kumar,INC,26306,22327,Amit Kumar Tuna,INC,"79,217",Moti Lal Prasad,BJP,"56,361","22,856",Moti Lal Prasad,BJP,"95,226",Amit Kumar,INC,"62,731","32,495",,,,,,,,Moti Lal Prasad,BJP,NDA,,False,False
24,Bathnaha,bathnaha-sc,Sitamarhi,SC,5,Sitamarhi,Dinkar Ram,BJP,49181,Lalita Devi,LJP,35889,13292,Dinkar Ram,BJP,"74,763",Surendra Ram,INC,"54,597","20,166",Anil Kumar,BJP,"92,648",Sanjay Ram,INC,"45,830","46,818",,,,,,,,Anil Kumar,BJP,NDA,,False,False
